geo,Name,TIME_PERIOD,GHGperGDP,PriceAdjOil,GDPperCap,OilCperGDP,GDPgrowth,OilDep,SRE,PosSupplyShock,NegSupplyShock,GHG,GDP,Pop,OilCons
DK,Denmark,2012,2002.9422277163028,106.34,51572.31583384439,506.3452379037975,0.22649979180289492,-36.197,26.9,0,0,577530000,288340.817827024,5591000,146000000
DK,Denmark,2013,1957.997605880922,100.71,51849.63848563585,508.5351075220702,0.9333409723712782,-15.486,27.1,0,0,569840000,291032.020819874,5613000,148000000
DK,Denmark,2014,1556.5775866531553,90.31,52409.175146756694,398.9924084393881,1.6193938110304857,-9.845,30.2,0,0,460350000,295744.975353148,5643000,118000000
DK,Denmark,2015,1430.8177426828954,49.66,53268.75586885903,436.52380315938507,2.3425911075703505,5.347,32.5,0,0,433070000,302673.070846857,5682000,132124000
DK,Denmark,2016,1572.7795327143747,41.31,54546.64139159767,367.1226919991386,3.245956985243983,2.627,32,0,0,491490000,312497.708532463,5729000,114725000
DK,Denmark,2017,1588.2828214505075,52.43,55735.571542033475,343.58434613260687,2.8217363412903183,-5.313,35,0,1,510340000,321315.569939823,5765000,110399000
DK,Denmark,2018,1480.7377617088853,67.89,56559.93495039109,349.5395536125043,1.989537314964285,18.32,34.6,1,0,485250000,327708.26310256595,5794000,114547000
DK,Denmark,2019,1448.2150234284832,63.35,57177.67634073389,358.8787951679901,1.4934869585364248,44.821,37.3,0,1,481680000,332602.543274049,5817000,119364000
DK,Denmark,2020,1483.8915018721577,40.99,55666.9901274374,356.0254987589115,-2.424512678619123,55.341,39.7,0,0,481580000,324538.55244296003,5830000,115544000
EE,Estonia,1995,1221.959850596883,25.66,7081.016082113805,390.0909339495237,0,105.775,17.9,0,0,12530000,10254.019388509001,1448100,4000000
EE,Estonia,1996,2039.796560471543,30.2,7550.432958756875,650.5045978724738,4.9430144912667044,101.893,20.1,1,0,21950000,10760.877052820299,1425200,7000000
EE,Estonia,1997,1546.2172098491847,28.56,8652.32794794936,493.2112312118611,13.05001474418343,96.291,20.1,0,0,18810000,12165.173094816799,1406000,6000000
EE,Estonia,1998,1481.9051136875078,19.2,9111.42084570605,472.6970059609275,4.339825510261274,101.137,17.9,1,1,18810000,12693.1203801531,1393100,6000000
EE,Estonia,1999,1239.796460752127,27.19,9164.132413978683,395.59555225020006,-0.425025156761717,92.146,20,0,1,15670000,12639.1714253594,1379200,5000000
EE,Estonia,2000,1576.810412988763,44.3,9929.46894675116,503.08445263998817,10.087634440694714,101.467,19.8,1,1,21940000,13914.1648350824,1401300,7000000
EE,Estonia,2001,1484.1154929089116,37.6,10590.59809473476,474.5915235432792,6.00367425106584,93.712,18.9,0,1,21890000,14749.5259665371,1392700,7000000
EE,Estonia,2002,1588.745874106457,38.46,11382.920591056452,507.992285885358,6.771367930436524,100.99,19.3,0,1,25020000,15748.2706377266,1383500,8000000
EE,Estonia,2003,1661.2392663571666,40.55,12321.97568954261,531.124454607975,7.600265185086908,97.816,19.9,1,1,28150000,16945.180968259,1375200,9000000
EE,Estonia,2004,1381.3580014849047,48.64,13246.089729974969,442.0345604751695,6.804007770501019,99.308,20,1,1,25000000,18098.1323980648,1366300,8000000
EE,Estonia,2005,1260.7052895481454,65.99,14586.973113690263,403.5871275064091,9.526426971620852,98.847,18.9,1,0,24990000,19822.2377641937,1358900,8000000
EE,Estonia,2006,1005.1477666745734,77.06,16108.680624010662,321.7208215236403,9.765583369977511,105.361,17.2,0,0,21870000,21757.9949188512,1350700,7000000
EE,Estonia,2007,1068.9080901714708,80.23,17430.23600282009,341.7771671211737,7.579140520467453,105.068,18.7,0,1,25020000,23407.0639281871,1342900,8000000
EE,Estonia,2008,986.2282375924157,99.98,16591.312898406006,315.2327700067082,-5.1320009576849905,95.682,20.5,1,0,21900000,22205.8131832266,1338400,7000000
EE,Estonia,2009,1318.752324786962,66,14192.792208022385,422.00074393182786,-14.62905503242227,106.817,24.2,0,1,25000000,18957.312552255502,1335700,8000000
EE,Estonia,2010,1289.3472631046939,80.97,14565.87379455494,411.9320329407968,2.444265117997792,95.781,25.3,0,0,25040000,19420.6795302801,1333300,8000000
EE,Estonia,2011,750.316115278387,104.36,15666.105069432955,240.02434909737264,7.263084581286834,100.337,25.2,0,0,15630000.000000002,20831.219910825002,1329700,5000000
EE,Estonia,2012,581.7605252926203,106.34,16226.75328615077,186.0145564484797,3.2282004935896396,100.283,25,0,0,12510000,21503.693454807,1325200,4000000
EE,Estonia,2013,572.9395740851473,100.71,16525.760852888958,183.34066370724713,1.4584286361601488,103.619,24.5,0,0,12500000,21817.309477984,1320200,4000000
EE,Estonia,2014,834.2859527117733,90.31,17080.337928013756,266.97150486776746,3.011366586514632,101.688,25.3,0,0,18750000,22474.3086456805,1315800,6000000
EE,Estonia,2015,817.7971500588287,49.66,17429.956666527676,262.11447117270154,1.8530200462933475,101.744,28.2,0,0,18720000,22890.762090150798,1313300,6000000
EE,Estonia,2016,659.8033866324349,41.31,17944.44480918892,211.74691483711007,3.1555648143829162,101.507,27.2,0,0,15580000,23613.0949244117,1315900,5000000
EE,Estonia,2017,818.629495579812,52.43,18988.123997799255,262.0415001498997,5.79204467466509,115.048,27.5,0,1,20450000,24980.7759315047,1315600,6546000
EE,Estonia,2018,774.5091252749082,67.89,19653.937569855436,247.74263504186928,3.7842008495280406,84.63,28.6,1,0,20080000,25926.098666523398,1319130,6423000
EE,Estonia,2019,616.8281721034125,63.35,20301.368269378407,198.17324637198243,3.7397066816166604,129.644,31.3,0,1,16590000,26895.6587106379,1324820,5330000
EE,Estonia,2020,748.4821936494438,40.99,20127.67293971879,239.64889417047627,-0.5510012577471706,129.961,40,0,0,20020000,26747.4632928629,1328890,6410000
EL,Greece,1995,10967.210862147418,25.66,15946.744556032574,3283.222775056448,0,98.593,8.3,0,0,1847230000,168432.06747994502,10562160,553000000
EL,Greece,1996,9110.847898582677,30.2,16331.016079983823,2735.8863615175287,2.86212869190303,97.582,8.2,1,0,1578480000,173252.810009654,10608820,474000000
EL,Greece,1997,10521.826001023299,28.56,16979.321604525147,3181.9370060007036,4.484199249324217,99.828,8,0,0,1904680000,181021.81121554002,10661310,576000000
EL,Greece,1998,15626.79798331906,19.2,17543.1379422138,4732.21918058162,3.894904744502803,102.487,7.6,1,1,2938970000,188072.438329159,10720570,890000000
EL,Greece,1999,14893.5925952863,27.19,18013.043140288577,4539.5656199048,3.072597035192504,95.273,8,0,1,2887140000,193851.14649327498,10761710,880000000
EL,Greece,2000,8283.508372680137,44.3,18642.735068709953,2477.045548937436,3.9197705299383623,100.318,7.8,1,1,1668710000,201449.66660546602,10805800,499000000
EL,Greece,2001,10819.9450089881,37.6,19312.271067628324,3241.602572161406,4.131611986270302,98.54,7.1,0,1,2269730000,209772.785177239,10862150,680000000
